date,open,high,low,close
2026-01-05,1005.48,1010.7,1001.7,1008.34
2026-01-06,1007.76,1021.0,1004.62,1017.96
2026-01-07,1019.44,1024.36,1010.96,1011.84
2026-01-08,1012.42,1018.66,1006.76,1010.94
2026-01-09,1009.4,1020.26,1006.3,1019.88
2026-01-12,1019.12,1044.66,1017.0,1039.1
2026-01-13,1040.66,1048.8,1038.0,1041.1
2026-01-14,1043.82,1054.24,1042.46,1053.92
2026-01-15,1056.28,1056.98,1042.36,1048.96
2026-01-16,1050.8,1050.8,1041.44,1045.96
2026-01-19,1046.36,1065.0,1032.48,1062.68
2026-01-20,1059.12,1071.72,1058.86,1070.7
2026-01-21,1074.26,1112.86,1070.52,1103.82
2026-01-22,1106.3,1110.3,1084.48,1099.14
2026-01-23,1098.16,1130.4,1095.84,1126.7
2026-01-26,1124.84,1163.8,1120.0,1156.46
2026-01-27,1157.08,1168.8,1145.32,1161.48
2026-01-28,1161.46,1200.28,1146.54,1199.2
2026-01-29,1200.26,1270.78,1194.16,1262.26
2026-01-30,1259.76,1264.48,1151.0,1172.0
2026-02-02,1157.98,1165.8,1010.84,1011.18
2026-02-03,1080.0,1108.24,1041.0,1103.72
2026-02-04,1109.62,1153.84,1109.14,1151.78
2026-02-05,1143.34,1150.46,1088.9,1116.64
2026-02-06,1099.82,1114.68,1059.78,1099.64
2026-02-09,1114.52,1144.0,1109.0,1136.76
2026-02-10,1133.94,1145.14,1127.52,1131.76
2026-02-11,1133.36,1143.18,1128.52,1140.72
2026-02-12,1145.02,1146.68,1129.52,1136.48
2026-02-13,1134.94,1141.0,1100.0,1120.12
2026-02-24,1168.88,1172.4,1153.5,1161.86
2026-02-25,1155.92,1166.96,1146.4,1163.08
2026-02-26,1160.96,1166.7,1156.72,1158.6
2026-02-27,1157.04,1162.14,1148.7,1160.42
2026-03-02,1162.0,1209.5,1161.46,1208.86
2026-03-03,1212.5,1218.46,1188.22,1194.02
2026-03-04,1181.84,1181.84,1137.22,1165.16
2026-03-05,1165.96,1172.12,1154.48,1164.5
2026-03-06,1166.0,1166.0,1144.1,1153.04
2026-03-09,1150.42,1165.0,1133.24,1152.62
2026-03-10,1152.62,1165.94,1146.5,1162.26
2026-03-11,1163.4,1172.94,1159.0,1164.02
2026-03-12,1158.18,1166.0,1155.06,1160.0
2026-03-13,1162.96,1163.32,1144.0,1145.36
2026-03-16,1149.06,1152.32,1122.5,1130.24
2026-03-17,1131.0,1134.18,1121.36,1128.56
2026-03-18,1128.56,1130.82,1120.1,1125.08
2026-03-19,1100.34,1105.0,1068.2,1074.46
2026-03-20,1033.04,1067.76,1011.8,1050.72
2026-03-23,1052.06,1053.9,937.02,949.26
2026-03-24,1000.02,1009.14,967.02,987.98
2026-03-25,982.6,1035.72,978.2,1022.1
2026-03-26,1022.0,1030.74,993.96,1004.24
2026-03-27,1004.24,1010.68,986.52,1006.88
2026-03-30,1003.44,1027.2,996.74,1023.42
2026-03-31,1031.02,1042.58,1019.06,1028.42
2026-04-01,1030.04,1062.0,1029.38,1061.86
2026-04-02,1061.86,1073.44,1022.46,1031.98
2026-04-03,1027.56,1055.24,1027.56,1041.44
2026-04-07,1042.02,1046.0,1036.0,1042.44
2026-04-08,1041.18,1076.72,1031.26,1070.32
2026-04-09,1067.5,1068.38,1047.18,1049.88
2026-04-10,1055.84,1067.08,1054.6,1056.94
2026-04-13,1061.84,1065.34,1045.66,1051.56
2026-04-14,1051.7,1061.04,1046.52,1060.58
2026-04-15,1058.8,1078.76,1058.52,1066.28
2026-04-16,1068.8,1072.16,1061.74,1069.18
2026-04-17,1068.8,1069.32,1057.72,1061.86
2026-04-20,1072.36,1081.72,1056.68,1062.42
2026-04-21,1063.22,1068.26,1058.8,1059.92
2026-04-22,1059.9,1063.3,1045.92,1059.26
2026-04-23,1055.44,1057.72,1043.84,1047.46
2026-04-24,1051.92,1052.94,1038.14,1039.56
2026-04-27,1044.52,1052.88,1042.74,1047.04
2026-04-28,1043.28,1044.22,1027.4,1029.56
2026-04-29,1024.16,1024.16,1014.68,1019.16
2026-04-30,1011.0,1023.82,1003.34,1022.7
2026-05-06,1025.7,1035.88,1023.64,1035.84
2026-05-07,1038.0,1050.68,1035.82,1048.3
2026-05-08,1051.0,1053.9,1039.0,1045.26
2026-05-11,1045.04,1049.34,1027.14,1033.5
2026-05-12,1037.66,1050.44,1036.82,1037.42
2026-05-13,1039.0,1041.8,1025.12,1037.44
2026-05-14,1035.64,1039.84,1031.5,1036.86
2026-05-15,1037.0,1038.26,1008.32,1011.9
2026-05-18,1008.98,1011.96,995.02,1006.72
2026-05-19,1009.0,1013.8,1003.0,1007.02
2026-05-20,1005.44,1005.44,987.0,991.58
2026-05-21,994.68,1010.0,989.06,999.46
2026-05-22,997.4,1006.44,992.84,1000.32
2026-05-25,998.0,1009.8,992.92,1005.62
2026-05-26,1006.76,1009.6,998.52,1000.04
2026-05-27,998.3,999.64,987.32,988.44
2026-05-28,980.22,981.58,964.06,966.22
2026-05-29,973.2,994.76,972.9,994.38
2026-06-01,992.58,1008.12,988.34,988.48
2026-06-02,987.28,995.54,977.18,995.08
2026-06-03,991.08,992.92,979.46,981.46
2026-06-04,980.68,984.68,973.24,982.46
2026-06-05,990.0,992.64,973.68,978.88
2026-06-08,969.98,971.8,939.42,946.82
2026-06-09,952.78,957.4,950.26,952.2
2026-06-10,953.8,958.88,916.12,923.7
2026-06-11,910.0,919.66,889.92,899.62
2026-06-12,896.64,922.78,890.0,915.98
2026-06-15,916.68,949.84,915.2,943.5
2026-06-16,950.68,956.0,942.2,946.14
