date,open,high,low,close
2020-01-02,4341,4342,4300,4320
2020-01-03,4329,4425,4329,4395
2020-01-06,4457,4550,4422,4515
2020-01-07,4525,4534,4401,4439
2020-01-08,4424,4608,4421,4530
2020-01-09,4481,4490,4324,4350
2020-01-10,4374,4377,4332,4339
2020-01-13,4340,4394,4325,4352
2020-01-14,4359,4363,4252,4271
2020-01-15,4276,4324,4269,4306
2020-01-16,4297,4346,4283,4317
2020-01-17,4330,4345,4307,4335
2020-01-20,4341,4363,4309,4331
2020-01-21,4328,4379,4323,4370
2020-01-22,4346,4348,4262,4286
2020-01-23,4292,4316,4284,4288
2020-02-03,4362,4380,4328,4337
2020-02-04,4328,4330,4295,4318
2020-02-05,4299,4327,4276,4318
2020-02-06,4302,4311,4290,4304
2020-02-07,4330,4346,4310,4317
2020-02-10,4333,4333,4308,4310
2020-02-11,4316,4322,4305,4317
2020-02-12,4290,4295,4237,4255
2020-02-13,4258,4292,4256,4283
2020-02-14,4285,4301,4278,4293
2020-02-17,4301,4338,4301,4332
2020-02-18,4330,4362,4329,4339
2020-02-19,4410,4457,4409,4442
2020-02-20,4455,4488,4433,4457
2020-02-21,4478,4524,4473,4512
2020-02-24,4546,4584,4527,4546
2020-02-25,4498,4525,4436,4449
2020-02-26,4389,4431,4380,4402
2020-02-27,4375,4489,4371,4387
2020-02-28,4347,4353,4127,4164
2020-03-02,4078,4125,4062,4095
2020-03-03,4073,4116,4052,4071
2020-03-04,4168,4177,4138,4155
2020-03-05,4149,4155,4127,4146
2020-03-06,4202,4212,4162,4177
2020-03-09,4175,4183,3953,4000
2020-03-10,4030,4103,4004,4086
2020-03-11,4088,4111,4074,4090
2020-03-12,4071,4082,3951,3996
2020-03-13,3782,3838,3765,3791
2020-03-16,3571,3587,3561,3561
2020-03-17,3211,3211,3211,3211
2020-03-18,3080,3126,2944,3003
2020-03-19,2950,2986,2857,2937
2020-03-20,2967,3132,2965,3132
2020-03-23,3101,3158,3066,3121
2020-03-24,3335,3335,3238,3335
2020-03-25,3520,3551,3456,3538
2020-03-26,3535,3542,3482,3514
2020-03-27,3522,3587,3516,3564
2020-03-30,3501,3506,3343,3364
2020-03-31,3390,3444,3390,3433
2020-04-01,3415,3423,3386,3402
2020-04-02,3390,3498,3380,3491
2020-04-03,3529,3563,3512,3553
2020-04-07,3786,3795,3704,3764
2020-04-08,3662,3717,3643,3690
2020-04-09,3699,3706,3673,3700
2020-04-10,3773,3780,3723,3727
2020-04-13,3737,3754,3637,3705
2020-04-14,3726,3818,3715,3778
2020-04-15,3791,3832,3700,3708
2020-04-16,3714,3787,3683,3778
2020-04-17,3764,3768,3624,3681
2020-04-20,3640,3704,3615,3677
2020-04-21,3680,3727,3664,3698
2020-04-22,3633,3635,3533,3549
2020-04-23,3635,3729,3608,3699
2020-04-24,3666,3723,3661,3713
2020-04-27,3709,3736,3666,3674
2020-04-28,3681,3681,3584,3600
2020-04-29,3658,3679,3633,3664
2020-04-30,3675,3708,3646,3696
2020-05-06,3606,3695,3590,3672
2020-05-07,3660,3668,3637,3652
2020-05-08,3674,3795,3667,3777
2020-05-11,3757,3805,3727,3782
2020-05-12,3780,3794,3743,3762
2020-05-13,3766,3808,3756,3785
2020-05-14,3798,3822,3743,3792
2020-05-15,3793,3991,3772,3962
2020-05-18,4044,4201,3990,4201
2020-05-19,4243,4261,4138,4190
2020-05-20,4203,4346,4195,4329
2020-05-21,4289,4326,4190,4214
2020-05-22,4226,4247,4100,4150
2020-05-25,4198,4250,4153,4167
2020-05-26,4195,4319,4180,4288
2020-05-27,4284,4310,4194,4225
2020-05-28,4185,4310,4148,4291
2020-05-29,4281,4345,4273,4306
2020-06-01,4375,4519,4373,4515
2020-06-02,4474,4505,4430,4481
2020-06-03,4479,4495,4349,4388
2020-06-04,4330,4356,4283,4299
2020-06-05,4356,4367,4310,4325
2020-06-08,4235,4335,4213,4311
2020-06-09,4311,4329,4262,4297
2020-06-10,4317,4347,4308,4333
2020-06-11,4383,4403,4285,4364
2020-06-12,4362,4398,4234,4297
2020-06-15,4302,4328,4167,4191
2020-06-16,4151,4250,4141,4221
2020-06-17,4238,4279,4209,4259
2020-06-18,4265,4284,4243,4261
2020-06-19,4249,4295,4221,4287
2020-06-22,4313,4400,4292,4363
2020-06-23,4382,4387,4307,4322
2020-06-24,4350,4377,4335,4356
2020-06-29,4366,4376,4329,4335
2020-06-30,4321,4350,4302,4346
2020-07-01,4340,4453,4323,4436
2020-07-02,4429,4432,4333,4357
2020-07-03,4333,4398,4311,4376
2020-07-06,4376,4395,4356,4379
2020-07-07,4417,4444,4375,4388
2020-07-08,4369,4439,4362,4429
2020-07-09,4457,4545,4455,4536
2020-07-10,4536,4555,4430,4450
2020-07-13,4488,4585,4464,4580
2020-07-14,4582,4643,4546,4575
2020-07-15,4590,4633,4573,4611
2020-07-16,4619,4628,4573,4594
2020-07-17,4590,4619,4514,4544
2020-07-20,4569,4615,4562,4599
2020-07-21,4668,4865,4666,4851
2020-07-22,5001,5123,4963,5123
2020-07-23,5280,5442,5168,5400
2020-07-24,5340,5468,5315,5346
2020-07-27,5375,5800,5355,5718
2020-07-28,5729,5988,5650,5778
2020-07-29,5650,5822,5601,5750
2020-07-30,5765,5783,5516,5569
2020-07-31,5469,5758,5454,5723
2020-08-03,5731,5764,5613,5720
2020-08-04,5718,5768,5671,5729
2020-08-05,5724,6172,5715,6172
2020-08-06,6221,6528,6177,6472
2020-08-07,6560,6833,6511,6594
2020-08-10,6661,6706,6412,6635
2020-08-11,6664,6877,6450,6535
2020-08-12,6350,6394,6173,6173
2020-08-13,6040,6109,5905,6024
2020-08-14,6122,6462,6083,6116
2020-08-17,6152,6296,5953,6222
2020-08-18,6305,6460,6260,6459
2020-08-19,6533,6558,6208,6257
2020-08-20,6295,6350,6031,6113
2020-08-21,6138,6188,6052,6088
2020-08-24,5900,5944,5756,5791
2020-08-25,5956,5976,5813,5857
2020-08-26,5845,5873,5781,5833
2020-08-27,5829,6079,5819,6058
2020-08-28,6041,6205,5925,6099
2020-08-31,6120,6284,6082,6215
2020-09-01,6230,6406,6215,6375
2020-09-02,6380,6398,6210,6223
2020-09-03,6210,6226,5957,5975
2020-09-04,6021,6111,5855,5931
2020-09-07,5920,6069,5851,5948
2020-09-08,5948,6017,5918,5998
2020-09-09,5900,5986,5726,5880
2020-09-10,5927,6039,5915,5970
2020-09-11,6050,6066,5859,5910
2020-09-14,5916,5947,5841,5888
2020-09-15,5938,6002,5915,5973
2020-09-16,5987,5996,5885,5939
2020-09-17,5940,5970,5785,5805
2020-09-18,5801,5890,5686,5887
2020-09-21,5834,5881,5748,5764
2020-09-22,5652,5695,5238,5238
2020-09-23,5232,5310,4890,4984
2020-09-24,4971,5047,4690,4757
2020-09-25,4786,5020,4752,4987
2020-09-28,4921,4984,4812,4875
2020-09-29,4944,5085,4941,5026
2020-09-30,5061,5128,5032,5076
2020-10-09,5095,5156,5085,5111
2020-10-12,5170,5460,5166,5374
2020-10-13,5396,5400,5247,5312
2020-10-14,5276,5277,5061,5149
2020-10-15,5207,5229,5087,5123
2020-10-16,5033,5192,4994,5133
2020-10-19,5152,5273,5091,5239
2020-10-20,5266,5274,5158,5192
2020-10-21,5234,5316,5193,5286
2020-10-22,5334,5366,5212,5278
2020-10-23,5233,5260,5163,5205
2020-10-26,5235,5254,5068,5096
2020-10-27,5111,5209,5101,5198
2020-10-28,5175,5234,5145,5202
2020-10-29,5048,5050,4898,4958
2020-10-30,4810,4998,4774,4921
2020-11-02,5000,5116,4960,5086
2020-11-03,5114,5165,5077,5136
2020-11-04,5186,5229,4995,5062
2020-11-05,5124,5172,5065,5168
2020-11-06,5279,5394,5212,5335
2020-11-09,5414,5458,5339,5369
2020-11-10,5172,5214,4999,5068
2020-11-11,5068,5118,5059,5107
2020-11-12,5085,5128,4980,5079
2020-11-13,5075,5114,5060,5089
2020-11-16,5111,5268,5110,5228
2020-11-17,5123,5213,5092,5157
2020-11-18,5154,5185,5088,5101
2020-11-19,5086,5172,5002,5023
2020-11-20,5030,5069,4962,5050
2020-11-23,5056,5122,5043,5065
2020-11-24,5030,5049,4852,4899
2020-11-25,4847,4913,4801,4856
2020-11-26,4902,4920,4843,4895
2020-11-27,4923,4942,4886,4910
2020-11-30,4903,4909,4625,4686
2020-12-01,4669,4857,4653,4838
2020-12-02,4940,5073,4936,5019
2020-12-03,5034,5076,4982,5062
2020-12-04,5097,5112,4991,5104
2020-12-07,5095,5137,5027,5052
2020-12-08,4999,5213,4949,5189
2020-12-09,5170,5230,5075,5082
2020-12-10,5053,5130,4977,4979
2020-12-11,5008,5105,4990,5013
2020-12-14,5001,5060,4967,5009
2020-12-15,4996,5094,4987,5093
2020-12-16,5109,5259,5097,5246
2020-12-17,5310,5387,5197,5374
2020-12-18,5450,5470,5379,5414
2020-12-21,5435,5805,5383,5718
2020-12-22,5559,5614,5339,5398
2020-12-23,5404,5492,5272,5342
2020-12-24,5321,5465,5321,5430
2020-12-25,5405,5445,5337,5423
2020-12-28,5423,5679,5411,5582
2020-12-29,5552,5664,5480,5502
2020-12-30,5523,5599,5485,5568
2020-12-31,5565,5645,5535,5586
2021-01-04,5680,5761,5661,5705
2021-01-05,5718,5790,5621,5728
2021-01-06,5743,5768,5681,5708
2021-01-07,5700,5725,5551,5678
2021-01-08,5658,5683,5590,5607
2021-01-11,5521,5544,5075,5123
2021-01-12,5125,5265,5051,5247
2021-01-13,5235,5282,5174,5248
2021-01-14,5202,5263,5162,5200
2021-01-15,5220,5355,5204,5229
2021-01-18,5226,5243,5069,5202
2021-01-19,5180,5274,5165,5224
2021-01-20,5234,5295,5177,5281
2021-01-21,5237,5392,5182,5362
2021-01-22,5337,5361,5222,5270
2021-01-25,5215,5315,5160,5257
2021-01-26,5286,5328,5204,5222
2021-01-27,5324,5361,5262,5295
2021-01-28,5246,5330,5169,5243
2021-01-29,5283,5550,5263,5479
2021-02-01,5654,5949,5522,5939
2021-02-02,6049,6085,5804,5879
2021-02-03,5700,5756,5490,5590
2021-02-04,5607,5638,5446,5517
2021-02-05,5502,5533,5385,5467
2021-02-08,5475,5613,5441,5583
2021-02-09,5608,5678,5576,5636
2021-02-10,5647,5688,5533,5607
2021-02-18,5610,5662,5572,5599
2021-02-19,5598,5650,5480,5542
2021-02-22,5576,5789,5574,5744
2021-02-23,5732,5908,5686,5859
2021-02-24,5830,5844,5691,5753
2021-02-25,5779,5888,5673,5811
2021-02-26,5811,5848,5534,5552
2021-03-01,5510,5598,5440,5573
2021-03-02,5551,5585,5351,5414
2021-03-03,5467,5559,5442,5517
2021-03-04,5500,5504,5365,5381
2021-03-05,5393,5432,5161,5187
2021-03-08,5223,5399,5149,5316
2021-03-09,5259,5312,5193,5293
2021-03-10,5351,5450,5313,5360
2021-03-11,5362,5480,5350,5455
2021-03-12,5456,5468,5319,5344
2021-03-15,5330,5460,5273,5400
2021-03-16,5455,5488,5411,5430
2021-03-17,5411,5442,5356,5412
2021-03-18,5394,5560,5378,5558
2021-03-19,5470,5485,5382,5446
2021-03-22,5457,5476,5303,5311
2021-03-23,5310,5368,5290,5331
2021-03-24,5332,5342,5188,5237
2021-03-25,5260,5276,5197,5213
2021-03-26,5109,5279,5090,5262
2021-03-29,5244,5246,5172,5200
2021-03-30,5193,5228,5127,5138
2021-03-31,5057,5088,4971,5052
2021-04-01,5030,5140,5024,5103
2021-04-02,5138,5265,5135,5264
2021-04-06,5210,5296,5181,5219
2021-04-07,5250,5299,5234,5260
2021-04-08,5257,5330,5220,5310
2021-04-09,5329,5380,5283,5302
2021-04-12,5282,5310,5239,5265
2021-04-13,5262,5284,5166,5197
2021-04-14,5269,5349,5268,5338
2021-04-15,5325,5375,5270,5351
2021-04-16,5342,5437,5333,5401
2021-04-19,5485,5493,5361,5408
2021-04-20,5399,5414,5340,5392
2021-04-21,5388,5442,5358,5433
2021-04-22,5432,5531,5411,5506
2021-04-23,5475,5486,5402,5431
2021-04-26,5477,5497,5363,5381
2021-04-27,5409,5454,5400,5430
2021-04-28,5451,5501,5376,5393
2021-04-29,5391,5490,5357,5456
2021-04-30,5473,5473,5330,5333
2021-05-06,5430,5569,5402,5551
2021-05-07,5564,5722,5550,5655
2021-05-10,5690,5762,5610,5732
2021-05-11,5732,5747,5587,5642
2021-05-12,5620,5695,5593,5675
2021-05-13,5675,5732,5541,5588
2021-05-14,5557,5633,5519,5616
2021-05-17,5628,5775,5622,5743
2021-05-18,5707,5992,5685,5929
2021-05-19,5940,5963,5772,5838
2021-05-20,5769,5863,5648,5738
2021-05-21,5734,5784,5674,5686
2021-05-24,5746,5781,5592,5707
2021-05-25,5707,5744,5624,5688
2021-05-26,5648,5804,5633,5754
2021-05-27,5858,5865,5713,5743
2021-05-28,5743,5800,5706,5725
2021-05-31,5706,5837,5650,5788
2021-06-01,5788,5902,5775,5893
2021-06-02,5917,5949,5743,5755
2021-06-03,5779,5848,5760,5770
2021-06-04,5700,5701,5577,5630
2021-06-07,5680,5725,5657,5672
2021-06-08,5672,5775,5667,5699
2021-06-09,5685,5733,5655,5674
2021-06-10,5712,5749,5664,5682
2021-06-11,5731,5836,5689,5821
2021-06-15,5750,5771,5675,5701
2021-06-16,5684,5726,5640,5711
2021-06-17,5711,5730,5541,5556
2021-06-18,5444,5452,5361,5418
2021-06-21,5404,5435,5312,5416
2021-06-22,5403,5441,5375,5405
2021-06-23,5375,5448,5367,5428
2021-06-24,5425,5511,5403,5422
2021-06-25,5445,5492,5421,5464
2021-06-28,5483,5495,5372,5459
2021-06-29,5460,5472,5409,5426
2021-06-30,5353,5396,5332,5377
2021-07-01,5380,5495,5378,5476
2021-07-02,5494,5506,5426,5446
2021-07-05,5505,5565,5484,5548
2021-07-06,5545,5583,5433,5565
2021-07-07,5565,5573,5445,5515
2021-07-08,5493,5517,5415,5425
2021-07-09,5450,5489,5400,5420
2021-07-12,5440,5520,5431,5446
2021-07-13,5452,5514,5437,5507
2021-07-14,5450,5488,5429,5454
2021-07-15,5494,5532,5457,5511
2021-07-16,5493,5551,5483,5491
2021-07-19,5475,5489,5303,5316
2021-07-20,5303,5332,5257,5265
2021-07-21,5271,5296,5195,5284
2021-07-22,5249,5321,5247,5308
2021-07-23,5291,5361,5274,5338
2021-07-26,5317,5369,5278,5329
2021-07-27,5330,5341,5283,5310
2021-07-28,5310,5337,5220,5275
2021-07-29,5253,5370,5230,5366
2021-07-30,5394,5429,5372,5404
2021-08-02,5399,5419,5352,5386
2021-08-03,5366,5400,5332,5340
2021-08-04,5367,5422,5367,5415
2021-08-05,5456,5472,5342,5355
2021-08-06,5364,5379,5287,5305
2021-08-09,5212,5213,5050,5104
2021-08-10,5084,5125,5002,5077
2021-08-11,5018,5085,5017,5068
2021-08-12,5092,5127,5080,5087
2021-08-13,5078,5095,5023,5085
2021-08-16,5093,5159,5093,5112
2021-08-17,5132,5167,5117,5138
2021-08-18,5129,5138,5082,5128
2021-08-19,5112,5119,4983,5032
2021-08-20,5032,5074,5002,5043
2021-08-23,5024,5043,4930,5019
2021-08-24,5078,5114,5064,5096
2021-08-25,5131,5148,5092,5098
2021-08-26,5126,5131,5064,5070
2021-08-27,5050,5110,5023,5099
2021-08-30,5083,5192,5013,5138
2021-08-31,5150,5177,5117,5172
2021-09-01,5142,5164,5092,5111
2021-09-02,5163,5183,5142,5166
2021-09-03,5151,5154,5105,5137
2021-09-06,5197,5295,5187,5292
2021-09-07,5271,5308,5238,5247
2021-09-08,5220,5247,5185,5196
2021-09-09,5183,5197,5101,5107
2021-09-10,5150,5184,5123,5171
2021-09-13,5133,5148,5038,5041
2021-09-14,5004,5094,4996,5060
2021-09-15,5080,5103,5036,5057
2021-09-16,5050,5085,5000,5011
2021-09-17,4907,4932,4830,4871
2021-09-22,4810,4914,4803,4882
2021-09-23,4876,4958,4816,4850
2021-09-24,4850,4880,4827,4854
2021-09-27,4808,4865,4728,4849
2021-09-28,4851,4886,4763,4764
2021-09-29,4732,4826,4720,4752
2021-09-30,4720,4731,4595,4615
2021-10-08,4797,4844,4770,4788
2021-10-11,4900,4926,4813,4826
2021-10-12,4809,4865,4788,4822
2021-10-13,4782,4847,4769,4832
2021-10-14,4821,4936,4815,4934
2021-10-15,4980,4997,4922,4983
2021-10-18,4920,4974,4904,4933
2021-10-19,4925,4991,4878,4988
2021-10-20,5045,5069,4943,5004
2021-10-21,5063,5090,4992,5013
2021-10-22,5013,5027,4951,5010
2021-10-25,5043,5114,4977,5001
2021-10-26,5019,5049,4985,4992
2021-10-27,4985,4995,4879,4914
2021-10-28,4921,4954,4894,4925
2021-10-29,4920,4965,4844,4861
2021-11-01,4847,4897,4832,4870
2021-11-02,4888,4935,4885,4905
2021-11-03,4881,4884,4788,4817
2021-11-04,4794,4868,4738,4817
2021-11-05,4885,4906,4866,4893
2021-11-08,4882,5015,4869,4983
2021-11-09,4988,5022,4974,4998
2021-11-10,4996,5006,4931,5005
2021-11-11,4987,5172,4950,5151
2021-11-12,5148,5230,5134,5201
2021-11-15,5138,5234,5106,5139
2021-11-16,5160,5176,5112,5130
2021-11-17,5162,5215,5109,5153
2021-11-18,5172,5179,5093,5125
2021-11-19,5142,5143,5063,5087
2021-11-22,5063,5126,5039,5067
2021-11-23,5057,5093,4912,4920
2021-11-24,4885,4885,4817,4863
2021-11-25,4821,4887,4821,4874
