date,open,high,low,close
2020-01-02,346.0,346.58,345.44,346.24
2020-01-03,346.82,351.96,346.58,351.16
2020-01-06,352.3,359.82,350.72,358.34
2020-01-07,358.58,358.92,353.22,354.94
2020-01-08,354.6,364.44,354.52,360.68
2020-01-09,356.66,357.32,346.82,348.04
2020-01-10,350.7,350.86,348.56,349.3
2020-01-13,349.48,351.48,348.4,349.42
2020-01-14,348.9,349.16,342.9,344.7
2020-01-15,345.7,348.68,345.16,347.54
2020-01-16,347.68,349.28,346.82,347.96
2020-01-17,348.5,348.5,346.32,347.78
2020-01-20,347.98,348.54,346.94,347.94
2020-01-21,348.52,351.82,347.92,351.34
2020-01-22,349.48,349.8,346.66,348.32
2020-01-23,348.88,351.24,348.66,350.72
2020-02-03,359.18,360.5,357.2,359.3
2020-02-04,359.18,359.44,356.06,356.2
2020-02-05,352.36,354.96,352.14,354.22
2020-02-06,352.3,352.78,350.52,352.4
2020-02-07,355.28,355.62,353.72,354.3
2020-02-10,357.36,357.62,355.36,355.56
2020-02-11,355.76,355.88,354.42,354.6
2020-02-12,354.64,354.64,353.08,354.0
2020-02-13,355.6,356.96,355.0,356.52
2020-02-14,357.22,357.5,356.1,356.78
2020-02-17,358.04,358.76,357.66,357.9
2020-02-18,359.46,359.96,359.0,359.68
2020-02-19,363.06,364.58,363.0,364.06
2020-02-20,365.16,366.92,364.28,365.06
2020-02-21,368.96,372.3,368.78,371.9
2020-02-24,379.12,380.78,377.76,379.7
2020-02-25,374.64,377.16,370.3,371.74
2020-02-26,373.18,374.78,371.96,374.26
2020-02-27,373.88,375.68,373.62,374.3
2020-02-28,373.34,373.96,355.96,369.98
2020-03-02,360.0,362.88,358.48,361.24
2020-03-03,358.72,361.0,358.5,360.26
2020-03-04,369.5,371.0,367.78,368.54
2020-03-05,366.92,368.8,366.88,368.62
2020-03-06,375.38,377.96,374.66,376.08
2020-03-09,381.1,381.12,370.64,373.42
2020-03-10,371.66,373.26,366.74,368.64
2020-03-11,368.98,371.56,368.9,371.22
2020-03-12,368.0,369.96,365.6,367.26
2020-03-13,355.0,357.96,349.1,356.4
2020-03-16,348.5,349.3,342.92,347.18
2020-03-17,341.0,341.0,330.12,330.88
2020-03-18,342.0,344.78,336.6,339.08
2020-03-19,335.58,337.42,330.74,336.62
2020-03-20,335.82,341.62,335.56,339.78
