date,open,high,low,close
2020-01-02,13940,14270,13865,13975
2020-01-03,14000,14130,13965,14015
2020-01-06,13950,14130,13840,14070
2020-01-07,14060,14260,14050,14215
2020-01-08,14200,14225,14025,14165
2020-01-09,14165,14380,14160,14260
2020-01-10,14285,14365,14215,14285
2020-01-13,14300,14445,14265,14430
2020-01-14,14420,14450,14070,14160
2020-01-15,14195,14240,13920,13930
2020-01-16,13915,14110,13890,14020
2020-01-17,14000,14080,13925,14030
2020-01-20,14105,14175,13965,13995
2020-01-21,13970,14075,13750,13795
2020-01-22,13845,13855,13340,13705
2020-01-23,13730,13730,13300,13440
2020-02-03,12570,12890,12565,12565
2020-02-04,12130,12810,12130,12620
2020-02-05,12710,13030,12685,12950
2020-02-06,12920,13200,12830,13120
2020-02-07,13065,13145,13060,13135
2020-02-10,13035,13110,13015,13075
2020-02-11,13105,13190,13070,13125
2020-02-12,13125,13175,12885,13070
2020-02-13,13100,13150,12995,13045
2020-02-14,13010,13055,12920,13030
2020-02-17,13080,13510,13055,13510
2020-02-18,13395,13415,13115,13180
2020-02-19,13210,13315,13200,13260
2020-02-20,13345,13375,13240,13325
2020-02-21,13300,13375,13225,13265
2020-02-24,13195,13230,12785,12935
2020-02-25,12845,13045,12775,13015
2020-02-26,12890,12940,12790,12805
2020-02-27,12750,12790,12620,12625
2020-02-28,12345,12410,12180,12180
2020-03-02,12105,12550,12105,12390
2020-03-03,12550,12715,12465,12520
2020-03-04,12410,12515,12400,12490
2020-03-05,12480,12865,12480,12770
2020-03-06,12705,12750,12585,12600
2020-03-09,12190,12325,12155,12175
2020-03-10,12305,12545,12265,12450
2020-03-11,12425,12510,12315,12325
2020-03-12,12320,12380,12045,12150
2020-03-13,11970,11980,11690,11775
2020-03-16,11690,11705,11435,11435
2020-03-17,11400,11615,11385,11560
2020-03-18,11430,11675,11350,11530
2020-03-19,11460,11560,11095,11095
2020-03-20,11135,11210,10885,10990
2020-03-23,10600,10650,10570,10570
2020-03-24,10480,10480,9935,10360
2020-03-25,10560,10695,10430,10695
2020-03-26,10600,10880,10495,10645
2020-03-27,10610,10850,10605,10720
2020-03-30,10455,10525,10145,10410
2020-03-31,10560,10650,10480,10540
2020-04-01,10965,11050,10715,10740
2020-04-02,10500,10970,10470,10895
2020-04-03,11000,11080,10780,10875
2020-04-07,11280,11300,11110,11180
2020-04-08,11125,11750,11040,11505
2020-04-09,11530,11630,11470,11515
2020-04-10,11450,11685,11365,11535
2020-04-13,11630,11700,11280,11340
2020-04-14,11355,11550,11310,11415
2020-04-15,11425,11520,11345,11380
2020-04-16,11365,11460,11300,11310
2020-04-17,11405,11545,11335,11400
2020-04-20,11300,11545,11300,11520
2020-04-21,11525,11630,11150,11165
2020-04-22,11100,11325,10855,11295
2020-04-23,11600,11745,11460,11695
2020-04-24,11620,11650,11440,11460
2020-04-27,11410,11630,11405,11465
2020-04-28,11430,11485,11290,11400
2020-04-29,11505,11540,11435,11450
2020-04-30,11580,11670,11520,11650
2020-05-06,11400,11400,11170,11335
2020-05-07,11325,11600,11285,11540
2020-05-08,11600,11830,11560,11655
2020-05-11,11745,11790,11565,11620
2020-05-12,11600,11730,11500,11535
2020-05-13,11610,11655,11425,11550
2020-05-14,11570,11615,11440,11490
2020-05-15,11485,11670,11435,11645
2020-05-18,11665,11800,11530,11590
2020-05-19,11625,11905,11585,11730
2020-05-20,11740,11955,11715,11800
2020-05-21,11820,11860,11725,11790
2020-05-22,11830,11860,11550,11580
2020-05-25,11575,11635,11455,11620
2020-05-26,11620,11685,11570,11630
2020-05-27,11700,11735,11585,11605
2020-05-28,11595,11630,11490,11560
2020-05-29,11565,11580,11470,11480
2020-06-01,11460,11720,11400,11695
2020-06-02,11630,11845,11625,11740
2020-06-03,11765,11800,11710,11785
2020-06-04,11815,11840,11670,11780
2020-06-05,11750,12045,11730,11985
2020-06-08,12020,12155,11935,11985
2020-06-09,11985,12150,11900,12095
2020-06-10,12030,12085,11990,12020
2020-06-11,12025,12060,11850,11975
2020-06-12,11930,11965,11790,11855
2020-06-15,11880,11955,11700,11715
2020-06-16,11700,11860,11685,11835
2020-06-17,11880,11925,11755,11840
2020-06-18,11845,11910,11820,11890
2020-06-19,11890,11950,11845,11910
2020-06-22,11905,11930,11720,11730
2020-06-23,11710,11780,11655,11670
2020-06-24,11690,11720,11625,11650
2020-06-29,11650,11755,11600,11665
2020-06-30,11665,11755,11655,11675
2020-07-01,11690,11820,11650,11785
2020-07-02,11755,11945,11750,11890
2020-07-03,11915,12015,11865,11950
2020-07-06,11950,12045,11895,12025
2020-07-07,12040,12065,11860,11950
2020-07-08,11950,12005,11880,11925
2020-07-09,11925,12135,11925,12110
2020-07-10,12125,12250,11970,12055
2020-07-13,12040,12200,12030,12130
2020-07-14,12130,12160,11945,11995
2020-07-15,11980,12105,11975,12080
2020-07-16,12090,12120,11915,11950
2020-07-17,11925,12060,11925,11945
2020-07-20,11930,11985,11875,11980
2020-07-21,12010,12140,11995,12080
2020-07-22,12080,12425,12060,12165
2020-07-23,12110,12215,12030,12070
2020-07-24,12050,12135,11950,12010
2020-07-27,11955,11995,11890,11935
2020-07-28,11935,12055,11930,11965
2020-07-29,11965,12090,11915,12070
2020-07-30,12110,12170,12025,12060
2020-07-31,12020,12090,11925,12010
2020-08-03,12040,12170,11950,12125
2020-08-04,12150,12190,12025,12055
2020-08-05,12080,12145,12050,12070
2020-08-06,12105,12280,12055,12275
2020-08-07,12290,12525,12240,12340
2020-08-10,12370,12375,12120,12140
2020-08-11,12150,12240,12140,12170
2020-08-12,12730,12915,12730,12905
2020-08-13,12905,12940,12735,12790
2020-08-14,12790,12865,12745,12840
2020-08-17,12840,12950,12785,12920
2020-08-18,12920,12970,12870,12900
2020-08-19,12895,12930,12810,12830
2020-08-20,12830,12870,12755,12850
2020-08-21,12845,12950,12795,12930
2020-08-24,12910,12990,12840,12945
2020-08-25,13110,13115,12920,12950
2020-08-26,12950,13005,12910,12985
2020-08-27,13010,13040,12945,12985
2020-08-28,12960,13030,12940,13030
2020-08-31,13010,13180,13005,13125
2020-09-01,13125,13150,13040,13135
2020-09-02,13140,13180,13085,13125
2020-09-03,13085,13105,12985,13025
2020-09-04,12995,13040,12820,12870
2020-09-07,12890,12965,12875,12925
2020-09-08,12940,12990,12910,12960
2020-09-09,12910,12920,12215,12430
2020-09-10,12495,12660,12470,12580
2020-09-11,12590,12630,12540,12590
2020-09-14,12580,12650,12555,12630
2020-09-15,12675,12845,12655,12800
2020-09-16,12785,12815,12720,12775
2020-09-17,12775,12840,12740,12780
2020-09-18,12785,12825,12685,12815
2020-09-21,12795,12940,12770,12940
