date,open,high,low,close
2020-01-02,49120,49340,49120,49230
2020-01-03,49130,49130,48750,48780
2020-01-06,48580,49010,48560,48760
2020-01-07,48710,49020,48710,49010
2020-01-08,48860,48980,48640,48860
2020-01-09,48910,49170,48830,48960
2020-01-10,48910,49050,48850,49010
2020-01-13,48890,49230,48710,48940
2020-01-14,48850,49380,48820,49310
2020-01-15,49300,49610,49180,49260
2020-01-16,49260,49400,49160,49200
2020-01-17,49450,49550,49130,49250
2020-01-20,49300,49330,48970,49100
2020-01-21,49080,49080,48300,48420
2020-01-22,48450,48650,48280,48540
2020-01-23,48340,48380,47960,48020
2020-02-03,44780,45250,44780,45040
2020-02-04,44750,45290,44680,45260
2020-02-05,44980,45630,44980,45550
2020-02-06,45750,46330,45750,46160
2020-02-07,45960,46050,45720,45830
2020-02-10,45420,45720,45390,45560
2020-02-11,45610,45850,45610,45720
2020-02-12,45740,45880,45640,45710
2020-02-13,45740,46020,45740,45890
2020-02-14,46080,46130,46000,46120
2020-02-17,46030,46500,46010,46490
2020-02-18,46420,46440,46240,46270
2020-02-19,46300,46540,46220,46400
2020-02-20,46380,46570,46230,46430
2020-02-21,46250,46330,45980,45990
2020-02-24,45920,46040,45710,46000
2020-02-25,46040,46040,45670,45950
2020-02-26,45680,45770,45570,45630
2020-02-27,45620,45650,45430,45440
2020-02-28,45350,45350,44240,44390
2020-03-02,44530,45300,44370,45230
2020-03-03,45610,45990,45480,45620
2020-03-04,45350,45400,45210,45280
2020-03-05,45400,45550,45350,45460
2020-03-06,45150,45200,44970,45010
2020-03-09,44050,44110,43500,43890
2020-03-10,44370,44920,44310,44710
2020-03-11,44570,44750,44260,44290
2020-03-12,43640,43820,43180,43450
2020-03-13,43250,43760,42740,43650
2020-03-16,43340,43600,42600,42630
2020-03-17,42800,43020,42130,42630
2020-03-18,41570,41770,39960,39960
2020-03-19,38770,38770,37570,37570
2020-03-20,37980,39250,37560,38910
2020-03-23,37000,37250,35300,37200
2020-03-24,38370,38900,37520,38200
2020-03-25,38960,39390,38540,39360
2020-03-26,39300,39320,38800,38870
2020-03-27,39080,39320,38700,39180
2020-03-30,38680,38930,38310,38720
2020-03-31,39160,39600,39120,39150
2020-04-01,39490,39680,38820,39000
2020-04-02,38960,39800,38570,39650
2020-04-03,39720,40120,39440,39930
2020-04-07,40330,40940,40210,40600
2020-04-08,40310,41020,40140,40810
2020-04-09,40980,41180,40690,40800
2020-04-10,40570,41890,40570,41790
2020-04-13,41280,41930,41250,41780
2020-04-14,41920,41970,41570,41750
2020-04-15,41790,41820,41330,41560
2020-04-16,41390,41670,41320,41560
2020-04-17,41800,44800,41790,42280
2020-04-20,42020,42630,42010,42330
2020-04-21,41860,42160,41400,41440
2020-04-22,41200,41370,40350,41090
2020-04-23,41300,42020,41250,41950
2020-04-24,41910,41980,41620,41780
2020-04-27,42420,42880,42240,42490
2020-04-28,42300,42470,42130,42300
2020-04-29,42410,42720,42380,42510
2020-04-30,42780,42980,42650,42940
2020-05-06,42320,42780,42310,42720
2020-05-07,42790,43120,42610,43110
2020-05-08,43290,43610,43000,43510
2020-05-11,43650,43950,43420,43500
2020-05-12,43250,43450,43040,43040
2020-05-13,43200,43430,42680,43060
2020-05-14,43160,43250,42800,42910
2020-05-15,42730,43320,42510,43130
2020-05-18,42750,43220,42580,43120
2020-05-19,43480,44030,43390,43690
2020-05-20,43650,43920,43490,43730
2020-05-21,43890,44500,43750,44150
2020-05-22,44270,44410,43240,43260
2020-05-25,43330,43680,43210,43650
2020-05-26,43780,43940,43660,43860
2020-05-27,44060,44110,43500,43640
2020-05-28,43600,43850,43320,43700
2020-05-29,43760,44050,43580,43940
2020-06-01,44080,44650,43900,44600
2020-06-02,44360,44800,44210,44560
2020-06-03,44790,45100,44720,44830
2020-06-04,45020,45050,44570,44720
2020-06-05,44770,45260,44760,45220
2020-06-08,45520,45960,45430,45800
2020-06-09,45960,46490,45750,46250
2020-06-10,46250,46980,45970,46830
2020-06-11,47270,47600,46640,46950
2020-06-12,46800,47150,46070,46840
2020-06-15,46860,47330,46240,46280
2020-06-16,46290,47270,46190,47150
2020-06-17,47250,47250,46450,46770
2020-06-18,46870,47020,46780,46920
2020-06-19,46970,47800,46890,47780
2020-06-22,47900,47930,47150,47470
2020-06-23,47630,47870,47330,47850
2020-06-24,47900,47940,47540,47860
2020-06-29,48050,48590,48030,48380
2020-06-30,48350,48800,48270,48790
2020-07-01,48950,49380,48770,49350
2020-07-02,48980,49570,48910,49410
2020-07-03,49300,49390,48840,48900
2020-07-06,48900,49220,48480,49040
2020-07-07,49300,49620,49140,49360
2020-07-08,49300,49970,49200,49800
2020-07-09,49920,50800,49890,50700
2020-07-10,50750,50800,50200,50500
2020-07-13,50860,53520,50760,52880
2020-07-14,52560,53100,51820,52210
2020-07-15,52420,52730,52110,52210
2020-07-16,52280,52360,50640,50710
2020-07-17,51080,51770,51050,51430
2020-07-20,51540,51700,51160,51300
2020-07-21,51200,52340,51200,51900
2020-07-22,52060,52830,52000,52410
2020-07-23,52100,52100,51360,51970
2020-07-24,51830,52470,51060,51220
2020-07-27,51420,52040,51360,51600
2020-07-28,51400,52250,51280,51520
2020-07-29,51400,51990,51380,51880
2020-07-30,51760,52170,51560,51690
2020-07-31,51590,51950,51190,51820
2020-08-03,51500,51570,50210,51050
2020-08-04,51500,51970,51380,51540
