date,open,high,low,close
2020-01-02,2780,2786,2766,2771
2020-01-03,2772,2785,2760,2761
2020-01-06,2757,2762,2728,2739
2020-01-07,2738,2748,2736,2743
2020-01-08,2739,2742,2714,2727
2020-01-09,2729,2735,2705,2716
2020-01-10,2719,2723,2666,2666
2020-01-13,2667,2682,2651,2655
2020-01-14,2654,2673,2651,2659
2020-01-15,2663,2696,2663,2693
2020-01-16,2693,2693,2670,2689
2020-01-17,2688,2690,2661,2682
2020-01-20,2682,2692,2671,2681
2020-01-21,2681,2718,2677,2710
2020-01-22,2707,2708,2662,2678
2020-01-23,2679,2682,2635,2640
2020-02-03,2573,2596,2527,2580
2020-02-04,2589,2653,2588,2649
2020-02-05,2644,2654,2626,2635
2020-02-06,2635,2643,2616,2637
2020-02-07,2641,2648,2630,2634
2020-02-10,2645,2663,2640,2656
2020-02-11,2665,2667,2644,2657
2020-02-12,2658,2664,2637,2641
2020-02-13,2644,2688,2643,2684
2020-02-14,2687,2689,2657,2668
2020-02-17,2668,2687,2666,2681
2020-02-18,2680,2681,2648,2656
2020-02-19,2658,2666,2645,2660
2020-02-20,2664,2674,2658,2664
2020-02-21,2664,2682,2659,2661
2020-02-24,2650,2654,2616,2619
2020-02-25,2607,2637,2598,2636
2020-02-26,2631,2642,2623,2638
2020-02-27,2643,2668,2642,2646
2020-02-28,2664,2672,2614,2616
2020-03-02,2634,2735,2631,2719
2020-03-03,2731,2749,2711,2730
2020-03-04,2734,2745,2710,2718
2020-03-05,2711,2736,2703,2724
2020-03-06,2703,2720,2693,2717
2020-03-09,2631,2698,2631,2669
2020-03-10,2679,2695,2673,2693
2020-03-11,2695,2708,2678,2681
2020-03-12,2720,2736,2705,2721
2020-03-13,2714,2763,2711,2758
2020-03-16,2740,2809,2738,2749
2020-03-17,2740,2785,2732,2770
2020-03-18,2770,2785,2750,2753
2020-03-19,2763,2773,2707,2732
2020-03-20,2800,2825,2777,2817
2020-03-23,2866,2915,2856,2915
2020-03-24,2935,2940,2892,2920
2020-03-25,2925,2982,2915,2965
2020-03-26,2930,2938,2881,2892
2020-03-27,2916,2947,2910,2928
2020-03-30,2955,3011,2948,2950
2020-03-31,2950,2956,2920,2940
2020-04-01,2939,2945,2839,2862
2020-04-02,2845,2858,2827,2848
2020-04-03,2830,2837,2799,2805
2020-04-07,2795,2824,2789,2807
2020-04-08,2797,2827,2786,2821
2020-04-09,2825,2839,2810,2822
2020-04-10,2830,2846,2821,2826
2020-04-13,2836,2851,2800,2804
2020-04-14,2791,2810,2778,2808
2020-04-15,2808,2820,2796,2811
2020-04-16,2812,2816,2756,2760
2020-04-17,2763,2778,2755,2771
2020-04-20,2760,2768,2730,2735
2020-04-21,2721,2737,2713,2731
2020-04-22,2748,2766,2736,2762
2020-04-23,2762,2777,2753,2775
2020-04-24,2770,2773,2751,2760
2020-04-27,2750,2784,2739,2781
2020-04-28,2774,2777,2728,2730
2020-04-29,2721,2733,2715,2719
2020-04-30,2730,2735,2718,2729
2020-05-06,2740,2758,2734,2758
2020-05-07,2757,2765,2744,2747
2020-05-08,2750,2767,2745,2750
2020-05-11,2755,2775,2730,2735
2020-05-12,2740,2747,2718,2738
2020-05-13,2741,2748,2716,2727
2020-05-14,2732,2734,2689,2697
2020-05-15,2700,2711,2695,2702
2020-05-18,2701,2750,2700,2748
2020-05-19,2745,2747,2726,2738
2020-05-20,2742,2761,2728,2757
2020-05-21,2765,2765,2732,2742
2020-05-22,2743,2773,2730,2754
2020-05-25,2758,2795,2755,2788
2020-05-26,2789,2795,2768,2789
2020-05-27,2790,2832,2780,2818
2020-05-28,2823,2841,2792,2793
2020-05-29,2790,2808,2771,2804
2020-06-01,2799,2831,2776,2789
2020-06-02,2805,2815,2778,2787
2020-06-03,2790,2810,2783,2801
2020-06-04,2805,2849,2798,2833
2020-06-05,2836,2868,2831,2842
2020-06-08,2845,2847,2808,2809
2020-06-09,2813,2823,2797,2815
2020-06-10,2810,2820,2801,2818
2020-06-11,2821,2836,2788,2801
2020-06-12,2805,2836,2799,2832
2020-06-15,2832,2843,2801,2802
2020-06-16,2806,2838,2803,2835
2020-06-17,2836,2836,2803,2815
