date,open,high,low,close
2020-01-02,6278,6356,6268,6352
2020-01-03,6378,6418,6306,6314
2020-01-06,6346,6426,6296,6328
2020-01-07,6298,6366,6248,6358
2020-01-08,6334,6404,6290,6316
2020-01-09,6306,6390,6274,6386
2020-01-10,6394,6476,6336,6470
2020-01-13,6466,6466,6318,6384
2020-01-14,6352,6356,6214,6222
2020-01-15,6178,6272,6154,6164
2020-01-16,6146,6176,6096,6104
2020-01-17,6104,6144,6090,6126
2020-01-20,6080,6116,6038,6102
2020-01-21,6124,6132,5900,5920
2020-01-22,5964,6076,5888,6068
2020-01-23,6110,6186,6004,6094
2020-02-03,5676,5676,5676,5676
2020-02-04,5510,5730,5510,5650
2020-02-05,5640,5772,5626,5770
2020-02-06,5816,5902,5808,5886
2020-02-07,5848,5914,5812,5910
2020-02-10,5848,5886,5788,5794
2020-02-11,5784,5826,5678,5690
2020-02-12,5700,5718,5552,5592
2020-02-13,5630,5652,5522,5578
2020-02-14,5576,5576,5474,5508
2020-02-17,5512,5618,5510,5602
2020-02-18,5594,5622,5500,5512
2020-02-19,5522,5558,5432,5444
2020-02-20,5412,5512,5384,5504
2020-02-21,5506,5554,5474,5490
2020-02-24,5500,5504,5390,5404
2020-02-25,5348,5358,5282,5316
2020-02-26,5210,5268,5190,5238
2020-02-27,5200,5260,5160,5190
2020-02-28,5150,5196,4948,4948
2020-03-02,4952,5068,4946,5034
2020-03-03,5050,5102,4944,4970
2020-03-04,5008,5074,4966,5052
2020-03-05,5120,5254,5092,5200
2020-03-06,5140,5144,5082,5106
2020-03-09,4864,4896,4864,4864
2020-03-10,4866,5004,4774,4898
2020-03-11,4910,4964,4846,4848
2020-03-12,4828,4852,4664,4712
2020-03-13,4638,4694,4526,4676
2020-03-16,4602,4710,4564,4602
2020-03-17,4582,4746,4556,4708
2020-03-18,4726,4868,4656,4672
2020-03-19,4718,4744,4570,4670
2020-03-20,4730,4762,4622,4658
2020-03-23,4632,4638,4540,4576
2020-03-24,4656,4778,4636,4776
2020-03-25,4790,4918,4746,4912
2020-03-26,4880,4898,4716,4736
2020-03-27,4766,4888,4762,4846
2020-03-30,4896,5008,4836,4990
2020-03-31,5010,5044,4880,4892
2020-04-01,4920,4966,4838,4880
2020-04-02,4836,4952,4814,4944
2020-04-03,4938,4960,4782,4808
2020-04-07,4848,4938,4848,4910
2020-04-08,4744,4866,4738,4842
2020-04-09,4852,4920,4846,4894
2020-04-10,4806,4840,4724,4752
2020-04-13,4798,4812,4690,4692
2020-04-14,4678,4710,4632,4678
2020-04-15,4666,4724,4658,4702
2020-04-16,4680,4742,4584,4584
2020-04-17,4600,4690,4560,4688
2020-04-20,4680,4708,4632,4674
2020-04-21,4612,4632,4438,4458
2020-04-22,4388,4480,4374,4410
2020-04-23,4444,4506,4420,4474
