date,open,high,low,close
2020-01-02,3584,3593,3540,3547
2020-01-03,3547,3567,3542,3543
2020-01-06,3540,3566,3526,3559
2020-01-07,3558,3580,3556,3574
2020-01-08,3574,3621,3571,3617
2020-01-09,3617,3622,3550,3555
2020-01-10,3559,3583,3555,3571
2020-01-13,3565,3567,3529,3530
2020-01-14,3528,3572,3518,3570
2020-01-15,3570,3578,3537,3537
2020-01-16,3537,3577,3535,3565
2020-01-17,3565,3608,3562,3595
2020-01-20,3599,3618,3588,3605
2020-01-21,3605,3606,3555,3570
2020-01-22,3565,3568,3506,3558
2020-01-23,3551,3552,3491,3500
2020-02-03,3233,3294,3233,3233
2020-02-04,3209,3333,3207,3312
2020-02-05,3298,3324,3282,3297
2020-02-06,3297,3316,3270,3304
2020-02-07,3300,3340,3289,3325
2020-02-10,3308,3321,3279,3305
2020-02-11,3316,3488,3304,3392
2020-02-12,3410,3423,3382,3404
2020-02-13,3400,3424,3383,3395
2020-02-14,3391,3404,3365,3398
2020-02-17,3393,3437,3386,3427
2020-02-18,3426,3434,3386,3390
2020-02-19,3385,3403,3376,3394
2020-02-20,3395,3479,3394,3460
2020-02-21,3465,3488,3453,3485
2020-02-24,3500,3514,3458,3476
2020-02-25,3435,3494,3431,3489
2020-02-26,3470,3488,3440,3447
2020-02-27,3445,3456,3408,3419
2020-02-28,3388,3393,3324,3335
2020-03-02,3321,3446,3321,3422
2020-03-03,3450,3466,3414,3421
2020-03-04,3411,3479,3410,3477
2020-03-05,3478,3496,3461,3469
2020-03-06,3457,3469,3434,3441
2020-03-09,3350,3442,3350,3439
2020-03-10,3438,3494,3427,3479
2020-03-11,3496,3528,3484,3497
2020-03-12,3497,3530,3466,3521
2020-03-13,3494,3574,3465,3569
2020-03-16,3560,3584,3537,3553
2020-03-17,3548,3565,3530,3555
2020-03-18,3545,3592,3531,3548
2020-03-19,3548,3555,3329,3528
2020-03-20,3540,3562,3463,3483
2020-03-23,3435,3455,3390,3400
2020-03-24,3415,3445,3373,3435
2020-03-25,3461,3475,3434,3463
2020-03-26,3360,3377,3335,3341
2020-03-27,3351,3362,3321,3329
2020-03-30,3306,3308,3224,3242
2020-03-31,3253,3271,3220,3233
2020-04-01,3245,3245,3154,3169
