date,open,high,low,close
2020-01-02,5584,5642,5555,5576
2020-01-03,5586,5599,5543,5572
2020-01-06,5585,5605,5565,5569
2020-01-07,5580,5728,5573,5720
2020-01-08,5722,5736,5696,5725
2020-01-09,5729,5748,5683,5709
2020-01-10,5711,5797,5709,5789
2020-01-13,5796,5921,5796,5840
2020-01-14,5858,5886,5837,5862
2020-01-15,5889,5898,5793,5839
2020-01-16,5836,5908,5826,5860
2020-01-17,5859,5867,5828,5847
2020-01-20,5852,5859,5705,5724
2020-01-21,5713,5727,5675,5679
2020-01-22,5681,5716,5597,5670
2020-01-23,5692,5712,5619,5622
2020-02-03,5488,5527,5300,5481
2020-02-04,5510,5680,5510,5680
2020-02-05,5668,5685,5630,5662
2020-02-06,5679,5771,5666,5765
2020-02-07,5756,5782,5724,5773
2020-02-10,5777,5820,5737,5751
2020-02-11,5758,5769,5705,5729
2020-02-12,5765,5811,5716,5771
2020-02-13,5790,5801,5736,5757
2020-02-14,5708,5730,5651,5669
2020-02-17,5669,5806,5669,5789
2020-02-18,5755,5766,5724,5748
2020-02-19,5770,5795,5746,5751
2020-02-20,5760,5778,5737,5776
2020-02-21,5762,5855,5747,5774
2020-02-24,5783,5833,5775,5822
2020-02-25,5770,5822,5750,5806
2020-02-26,5796,5831,5726,5734
2020-02-27,5705,5764,5704,5735
2020-02-28,5691,5726,5634,5664
2020-03-02,5690,5757,5686,5750
2020-03-03,5736,5744,5670,5691
2020-03-04,5693,5705,5664,5679
2020-03-05,5660,5728,5648,5728
2020-03-06,5715,5740,5702,5721
2020-03-09,5624,5673,5510,5574
2020-03-10,5593,5668,5593,5657
2020-03-11,5647,5689,5625,5632
2020-03-12,5597,5597,5534,5548
2020-03-13,5476,5567,5404,5553
2020-03-16,5518,5540,5481,5516
2020-03-17,5441,5532,5424,5514
2020-03-18,5496,5545,5460,5468
2020-03-19,5477,5500,5400,5487
2020-03-20,5510,5580,5475,5496
2020-03-23,5460,5540,5455,5511
