date,open,high,low,close
2020-01-02,6722,6804,6712,6800
2020-01-03,6820,6900,6802,6812
2020-01-06,6850,6898,6796,6826
2020-01-07,6800,6886,6746,6886
2020-01-08,6864,6918,6828,6848
2020-01-09,6850,6928,6836,6926
2020-01-10,6924,6950,6856,6938
2020-01-13,6930,6938,6780,6872
2020-01-14,6850,6850,6740,6758
2020-01-15,6730,6788,6654,6670
2020-01-16,6670,6698,6578,6586
2020-01-17,6584,6620,6576,6596
2020-01-20,6560,6628,6534,6626
2020-01-21,6648,6656,6424,6442
2020-01-22,6452,6548,6378,6530
2020-01-23,6580,6618,6374,6440
2020-02-03,6040,6102,6040,6040
2020-02-04,6000,6116,5982,6050
2020-02-05,6050,6172,6038,6158
2020-02-06,6180,6262,6180,6250
2020-02-07,6216,6242,6170,6236
2020-02-10,6190,6232,6166,6174
2020-02-11,6162,6188,6088,6096
2020-02-12,6106,6120,5996,6044
2020-02-13,6074,6076,5942,5974
2020-02-14,5968,5974,5900,5904
2020-02-17,5910,5974,5888,5962
2020-02-18,5960,5980,5856,5864
2020-02-19,5864,5922,5852,5868
2020-02-20,5862,5966,5810,5950
2020-02-21,5928,5968,5928,5942
2020-02-24,5942,5958,5858,5896
2020-02-25,5832,5846,5790,5826
2020-02-26,5778,5826,5738,5798
2020-02-27,5770,5828,5762,5796
2020-02-28,5770,5790,5564,5566
2020-03-02,5600,5692,5592,5678
2020-03-03,5702,5726,5634,5666
2020-03-04,5680,5742,5656,5726
2020-03-05,5762,5832,5714,5776
2020-03-06,5702,5726,5658,5678
2020-03-09,5466,5482,5466,5466
2020-03-10,5370,5542,5350,5474
2020-03-11,5492,5528,5422,5422
2020-03-12,5396,5406,5252,5282
2020-03-13,5190,5286,5114,5280
2020-03-16,5220,5322,5188,5244
2020-03-17,5218,5270,5148,5234
2020-03-18,5220,5346,5204,5234
2020-03-19,5262,5374,5178,5350
2020-03-20,5450,5452,5328,5398
2020-03-23,5400,5456,5338,5414
2020-03-24,5490,5528,5444,5488
2020-03-25,5502,5606,5494,5602
2020-03-26,5640,5646,5492,5516
2020-03-27,5538,5566,5488,5510
2020-03-30,5540,5628,5522,5558
2020-03-31,5568,5606,5456,5468
2020-04-01,5504,5510,5414,5446
2020-04-02,5384,5512,5352,5496
2020-04-03,5500,5532,5424,5458
2020-04-07,5520,5574,5510,5548
2020-04-08,5568,5620,5540,5600
2020-04-09,5584,5696,5584,5672
2020-04-10,5630,5654,5572,5580
2020-04-13,5618,5652,5554,5564
2020-04-14,5542,5564,5470,5492
2020-04-15,5480,5546,5456,5524
2020-04-16,5506,5662,5504,5526
2020-04-17,5528,5568,5470,5558
2020-04-20,5558,5588,5472,5476
2020-04-21,5434,5456,5304,5340
2020-04-22,5310,5398,5304,5386
2020-04-23,5426,5522,5394,5514
2020-04-24,5498,5504,5434,5444
2020-04-27,5394,5412,5326,5352
2020-04-28,5400,5406,5308,5352
2020-04-29,5374,5388,5336,5344
2020-04-30,5384,5412,5358,5378
2020-05-06,5358,5380,5310,5314
2020-05-07,5300,5388,5284,5356
2020-05-08,5362,5418,5356,5370
2020-05-11,5398,5426,5352,5364
2020-05-12,5370,5382,5310,5320
2020-05-13,5338,5406,5312,5392
2020-05-14,5392,5404,5302,5324
2020-05-15,5332,5418,5332,5416
2020-05-18,5412,5448,5384,5420
2020-05-19,5442,5470,5402,5422
2020-05-20,5446,5462,5410,5448
2020-05-21,5466,5500,5442,5458
2020-05-22,5470,5490,5380,5392
2020-05-25,5422,5474,5408,5466
2020-05-26,5480,5486,5446,5484
2020-05-27,5480,5534,5462,5522
2020-05-28,5540,5576,5504,5542
2020-05-29,5544,5664,5532,5646
2020-06-01,5656,5684,5620,5660
2020-06-02,5650,5680,5630,5638
2020-06-03,5676,5722,5644,5684
2020-06-04,5710,5714,5622,5644
2020-06-05,5630,5694,5622,5682
2020-06-08,5696,5704,5638,5686
2020-06-09,5684,5784,5646,5772
2020-06-10,5750,5766,5698,5704
2020-06-11,5700,5722,5652,5694
2020-06-12,5672,5682,5588,5660
2020-06-15,5672,5708,5564,5572
2020-06-16,5572,5668,5572,5660
2020-06-17,5666,5694,5610,5652
2020-06-18,5642,5710,5634,5668
2020-06-19,5680,5808,5666,5804
2020-06-22,5828,5830,5754,5784
2020-06-23,5786,5802,5742,5754
2020-06-24,5780,5780,5738,5756
2020-06-29,5680,5692,5578,5586
2020-06-30,5606,5664,5598,5644
2020-07-01,5622,5674,5592,5662
2020-07-02,5662,5754,5652,5736
2020-07-03,5722,5798,5722,5778
2020-07-06,5766,5876,5762,5840
2020-07-07,5824,5856,5736,5746
2020-07-08,5756,5816,5750,5792
2020-07-09,5800,5852,5798,5838
2020-07-10,5838,5880,5764,5776
2020-07-13,5808,5846,5754,5816
2020-07-14,5800,5886,5772,5884
2020-07-15,5892,5948,5876,5914
2020-07-16,5922,6028,5880,5952
2020-07-17,5942,6162,5934,6124
2020-07-20,6134,6288,6118,6228
2020-07-21,6246,6252,6112,6196
2020-07-22,6194,6320,6172,6180
2020-07-23,6180,6276,6130,6268
2020-07-24,6268,6324,6186,6230
2020-07-27,6270,6284,6162,6198
2020-07-28,6168,6234,6054,6078
2020-07-29,6076,6180,6070,6166
2020-07-30,6164,6272,6164,6272
2020-07-31,6280,6304,6170,6262
2020-08-03,6278,6488,6266,6464
2020-08-04,6456,6520,6408,6492
2020-08-05,6468,6480,6320,6332
2020-08-06,6282,6306,6206,6256
2020-08-07,6330,6378,6228,6264
2020-08-10,6270,6272,6092,6196
2020-08-11,6190,6270,6138,6188
2020-08-12,6172,6206,6104,6130
2020-08-13,6200,6422,6182,6418
2020-08-14,6400,6428,6350,6362
2020-08-17,6362,6508,6312,6472
2020-08-18,6468,6506,6422,6474
2020-08-19,6526,6580,6460,6528
2020-08-20,6546,6550,6366,6406
2020-08-21,6400,6420,6328,6380
2020-08-24,6358,6412,6332,6374
2020-08-25,6410,6468,6334,6344
2020-08-26,6334,6486,6306,6484
2020-08-27,6476,6546,6470,6540
2020-08-28,6578,6684,6560,6648
2020-08-31,6630,6726,6598,6682
2020-09-01,6690,6716,6570,6710
2020-09-02,6690,6720,6626,6700
2020-09-03,6694,6840,6672,6772
2020-09-04,6818,6830,6712,6742
2020-09-07,6726,6814,6712,6786
2020-09-08,6786,6922,6756,6906
2020-09-09,6852,6878,6766,6802
2020-09-10,6804,6836,6750,6798
2020-09-11,6802,6838,6720,6832
2020-09-14,6832,7008,6808,6998
2020-09-15,6978,7054,6954,6968
2020-09-16,6990,7044,6940,7040
2020-09-17,7046,7218,7022,7180
2020-09-18,7152,7382,7150,7330
2020-09-21,7324,7472,7282,7446
2020-09-22,7380,7398,7160,7172
2020-09-23,7214,7264,6990,7012
2020-09-24,6988,7042,6858,6876
2020-09-25,6870,6930,6812,6914
2020-09-28,6946,7018,6882,6924
2020-09-29,6940,6976,6858,6926
2020-09-30,6882,6886,6724,6752
